nx dgp1          dgp2           dgp3           dgp4           
2  0.262893571   0.0412573649   0.0243959323   0.000824445723 
4  0.0636081844  0.0142770782   0.00121340947  9.13430722e-05  
8  0.0165579431  0.00190644295  6.954314e-05   3.05927449e-06  
16 0.00417741741 0.000243693789 4.21576248e-06 9.76500519e-08  
32 0.00104667189 3.07065654e-05 2.6077164e-07  3.07044764e-09 
