nx dgp1          dgp2           dgp3           dgp4
2  0.262893571   0.0475606773   0.0290106132   0.000952407674  
4  0.0636081844  0.0175930309   0.00140523714  0.000111911005  
8  0.0165579431  0.00390484158  8.63017364e-05 6.16326363e-06 
16 0.00417741741 0.000942627192 5.38785297e-06 3.73127053e-07 
32 0.00104667189 0.000233492261 3.36699076e-07 2.31358939e-08 
